Name	Index	Desc	Assay	CellLine or Tissue	Group	Lifestage	Type
CHIP_H3K27ac_mesendoderm_originated_from_H1_hESC	2899	Mesendoderm H3K27ac Chip-Seq	CHIP_H3K27ac	Mesendoderm	ES-deriv	Unknown	In Vitro Differentiated
CHIP_H3K27ac_mesodermal_cell_originated_from_HUES64	4323	Mesodermal Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Mesodermal Cell	ES-deriv	Unknown	In Vitro Differentiated
CHIP_H3K27ac_neural_progenitor_cell_originated_from_H9	2839	Neural Progenitor Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Neural Progenitor Cell	ES-deriv	Unknown	In Vitro Differentiated
CHIP_H3K27ac_neural_stem_progenitor_cell_originated_from_H1_hESC	3928	Neural Stem Progenitor Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Neural Stem Progenitor Cell	ES-deriv	Unknown	In Vitro Differentiated
CHIP_H3K27ac_neuroepithelial_stem_cell_genetically_modified_using_stable_transfection_NONE_and_originated_from_H9	4048	Neuroepithelial Stem Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Neuroepithelial Stem Cell	ES-deriv	Unknown	In Vitro Differentiated
CHIP_H3K27ac_bipolar_neuron_originated_from_GM23338_treated_with_0_5_ug_mL_doxycycline_hyclate_for_4_days	4245	Bipolar Neuron H3K27ac Chip-Seq	CHIP_H3K27ac	Bipolar Neuron	ES-deriv	Unknown	Tissue
CHIP_H3K27ac_H1_hESC	732	H1 hESC H3K27ac Chip-Seq	CHIP_H3K27ac	H1	ESC	Unknown	Cell Line
CHIP_H3K27ac_H1_hESC	4164	H1 hESC H3K27ac Chip-Seq	CHIP_H3K27ac	H1	ESC	Unknown	Cell Line
CHIP_H3K27ac_H9	4152	H9 H3K27ac Chip-Seq	CHIP_H3K27ac	H9	ESC	Unknown	Cell Line
CHIP_H3K27ac_HUES48	2155	HUES48 H3K27ac Chip-Seq	CHIP_H3K27ac	HUES48	ESC	Unknown	Cell Line
CHIP_H3K27ac_HUES6	2410	HUES6 H3K27ac Chip-Seq	CHIP_H3K27ac	HUES6	ESC	Unknown	Cell Line
CHIP_H3K27ac_HUES64	3946	HUES64 H3K27ac Chip-Seq	CHIP_H3K27ac	HUES64	ESC	Unknown	Cell Line
CHIP_H3K27ac_UCSF_4	3460	UCSF 4 H3K27ac Chip-Seq	CHIP_H3K27ac	UCSF 4	ESC	Unknown	Cell Line
CHIP_H3K27ac_aorta_female_adult__30_years_	2433	Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_aorta_male_adult__34_years_	3060	Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_ascending_aorta_female_adult__51_year_	4463	Ascending Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Ascending Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_ascending_aorta_female_adult__53_years_	1659	Ascending Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Ascending Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_coronary_artery_female_adult__53_years_	2821	Coronary Artery H3K27ac Chip-Seq	CHIP_H3K27ac	Coronary Artery	Heart	Adult	Tissue
CHIP_H3K27ac_heart_left_ventricle_female_adult__53_years_	4089	Heart Left Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Left Ventricle	Heart	Adult	Tissue
CHIP_H3K27ac_heart_left_ventricle_male_adult__32_years_	2862	Heart Left Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Left Ventricle	Heart	Adult	Tissue
CHIP_H3K27ac_heart_left_ventricle_male_adult__34_years_	1921	Heart Left Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Left Ventricle	Heart	Adult	Tissue
CHIP_H3K27ac_heart_left_ventricle_male_child__3_years_	3162	Heart Left Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Left Ventricle	Heart	Child	Tissue
CHIP_H3K27ac_heart_right_ventricle_male_adult__34_years_	4312	Heart Right Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Right Ventricle	Heart	Adult	Tissue
CHIP_H3K27ac_heart_right_ventricle_male_child__3_years_	1533	Heart Right Ventricle H3K27ac Chip-Seq	CHIP_H3K27ac	Heart Right Ventricle	Heart	Child	Tissue
CHIP_H3K27ac_right_atrium_auricular_region_female_adult__53_years_	3285	Right Atrium Auricular Region H3K27ac Chip-Seq	CHIP_H3K27ac	Right Atrium Auricular Region	Heart	Adult	Tissue
CHIP_H3K27ac_right_cardiac_atrium_male_adult__34_years_	1671	Right Cardiac Atrium H3K27ac Chip-Seq	CHIP_H3K27ac	Right Cardiac Atrium	Heart	Adult	Tissue
CHIP_H3K27ac_thoracic_aorta_male_adult__37_years_	1494	Thoracic Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Thoracic Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_thoracic_aorta_male_adult__54_years_	2420	Thoracic Aorta H3K27ac Chip-Seq	CHIP_H3K27ac	Thoracic Aorta	Heart	Adult	Tissue
CHIP_H3K27ac_B_cell_female_adult__27_years_	853	B Cell H3K27ac Chip-Seq	CHIP_H3K27ac	B Cell	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_B_cell_male_adult__37_years_	2047	B Cell H3K27ac Chip-Seq	CHIP_H3K27ac	B Cell	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_CD14_positive_monocyte_female	817	CD14 Positive Monocyte H3K27ac Chip-Seq	CHIP_H3K27ac	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_CD14_positive_monocyte_male_adult__21_year_	1487	CD14 Positive Monocyte H3K27ac Chip-Seq	CHIP_H3K27ac	CD14 Positive Monocyte	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_common_myeloid_progenitor__CD34_positive_female_adult__27_years_	4192	Common Myeloid Progenitor CD34 Positive H3K27ac Chip-Seq	CHIP_H3K27ac	Common Myeloid Progenitor CD34 Positive	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_common_myeloid_progenitor__CD34_positive_female_adult__33_years_	3363	Common Myeloid Progenitor CD34 Positive H3K27ac Chip-Seq	CHIP_H3K27ac	Common Myeloid Progenitor CD34 Positive	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_natural_killer_cell_male_adult__37_years_	2640	Natural Killer Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Natural Killer Cell	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_neutrophil	2280	Neutrophil H3K27ac Chip-Seq	CHIP_H3K27ac	Neutrophil	HSC & B Cell	Adult	Tissue
CHIP_H3K27ac_GM23338_male_adult__53_years__originated_from_GM23248	3702	GM23338 H3K27ac Chip-Seq	CHIP_H3K27ac	GM23338	iPSC	Unknown	Cell Line
CHIP_H3K27ac_iPS_DF_19_11_male_newborn	3019	iPS DF 19-11 H3K27ac Chip-Seq	CHIP_H3K27ac	iPS DF 19-11	iPSC	Newborn	Cell Line
CHIP_H3K27ac_iPS_DF_6_9_male_newborn	4149	iPS DF 6-9 H3K27ac Chip-Seq	CHIP_H3K27ac	iPS DF 6-9	iPSC	Newborn	Cell Line
CHIP_H3K27ac_iPS_18a_female_adult__48_years_	2761	iPS 18a H3K27ac Chip-Seq	CHIP_H3K27ac	iPS 18a	iPSC	Adult	Tissue
CHIP_H3K27ac_iPS_20b_male_adult__55_years_	3703	iPS 20b H3K27ac Chip-Seq	CHIP_H3K27ac	iPS 20b	iPSC	Adult	Tissue
CHIP_H3K27ac_kidney_male_adult__50_years_	2795	Kidney H3K27ac Chip-Seq	CHIP_H3K27ac	Kidney	Kidney	Adult	Tissue
CHIP_H3K27ac_kidney_male_adult__67_years_	2169	Kidney H3K27ac Chip-Seq	CHIP_H3K27ac	Kidney	Kidney	Adult	Tissue
CHIP_H3K27ac_liver_female_adult__25_years_	3542	Liver H3K27ac Chip-Seq	CHIP_H3K27ac	Liver	Liver	Adult	Tissue
CHIP_H3K27ac_liver_male_adult__31_year_	2170	Liver H3K27ac Chip-Seq	CHIP_H3K27ac	Liver	Liver	Adult	Tissue
CHIP_H3K27ac_right_lobe_of_liver_female_adult__53_years_	4461	Right Lobe of Liver H3K27ac Chip-Seq	CHIP_H3K27ac	Right Lobe of Liver	Liver	Adult	Tissue
CHIP_H3K27ac_lung_female_adult__30_years_	3108	Lung H3K27ac Chip-Seq	CHIP_H3K27ac	Lung	Lung	Adult	Tissue
CHIP_H3K27ac_lung_male_child__3_years_	3138	Lung H3K27ac Chip-Seq	CHIP_H3K27ac	Lung	Lung	Child	Tissue
CHIP_H3K27ac_upper_lobe_of_left_lung_female_adult__53_years_	3736	Upper Lobe of Left Lung H3K27ac Chip-Seq	CHIP_H3K27ac	Upper Lobe of Left Lung	Lung	Adult	Tissue
CHIP_H3K27ac_GM12878	688	GM12878 H3K27ac Chip-Seq	CHIP_H3K27ac	GM12878	Lymphoblastoid	Unknown	Cell Line
CHIP_H3K27Ac_ChIP_seq__H3K27Ac_HighDensity_noDMI___hMSC___Human_Mesenchymal_Stem_Cells	4645	H3K27Ac High Density noDMI hMSC Human Mesenchymal Stem Cells H3K27ac Chip-Seq	CHIP_H3K27ac	hMSC	Mesench	Unknown	Cell Line
CHIP_H3K27ac_mesenchymal_stem_cell_originated_from_H1_hESC	1488	Mesenchymal Stem Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Mesenchymal Stem Cell	Mesench	Unknown	In Vitro Differentiated
CHIP_H3K27ac_cardiac_muscle_cell	1448	Cardiac Muscle Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Cardiac Muscle Cell	Muscle	Adult	Tissue
CHIP_H3K27ac_gastrocnemius_medialis_female_adult__53_years_	3725	Gastrocnemius Medialis H3K27ac Chip-Seq	CHIP_H3K27ac	Gastrocnemius Medialis	Muscle	Adult	Tissue
CHIP_H3K27ac_gastrocnemius_medialis_male_adult__37_years_	3936	Gastrocnemius Medialis H3K27ac Chip-Seq	CHIP_H3K27ac	Gastrocnemius Medialis	Muscle	Adult	Tissue
CHIP_H3K27ac_gastrocnemius_medialis_male_adult__54_years_	4359	Gastrocnemius Medialis H3K27ac Chip-Seq	CHIP_H3K27ac	Gastrocnemius Medialis	Muscle	Adult	Tissue
CHIP_H3K27ac_muscle_layer_of_colon_female_adult__56_years_	1456	Muscle Layer of Colon H3K27ac Chip-Seq	CHIP_H3K27ac	Muscle Layer of Colon	Muscle	Adult	Tissue
CHIP_H3K27ac_muscle_layer_of_duodenum_male_adult__59_years_	3592	Muscle Layer of Duodenum H3K27ac Chip-Seq	CHIP_H3K27ac	Muscle Layer of Duodenum	Muscle	Adult	Tissue
CHIP_H3K27ac_muscle_of_trunk_female_embryo__115_days_	3844	Muscle of Trunk H3K27ac Chip-Seq	CHIP_H3K27ac	Muscle of Trunk	Muscle	Developing	Tissue
CHIP_H3K27ac_psoas_muscle_female_adult__30_years_	2234	Psoas Muscle H3K27ac Chip-Seq	CHIP_H3K27ac	Psoas Muscle	Muscle	Adult	Tissue
CHIP_H3K27ac_psoas_muscle_male_adult__34_years_	3900	Psoas Muscle H3K27ac Chip-Seq	CHIP_H3K27ac	Psoas Muscle	Muscle	Adult	Tissue
CHIP_H3K27ac_psoas_muscle_male_child__3_years_	2572	Psoas Muscle H3K27ac Chip-Seq	CHIP_H3K27ac	Psoas Muscle	Muscle	Child	Tissue
CHIP_H3K27ac_skeletal_muscle_myoblast_male_adult__22_years_	724	Skeletal Muscle Myoblast H3K27ac Chip-Seq	CHIP_H3K27ac	Skeletal Muscle Myoblast	Muscle	Adult	Tissue
CHIP_H3K27ac_skeletal_muscle_tissue_female_adult__72_years_	2454	Skeletal Muscle Tissue H3K27ac Chip-Seq	CHIP_H3K27ac	Skeletal Muscle Tissue	Muscle	Adult	Tissue
CHIP_H3K27ac_myotube	737	Myotube H3K27ac Chip-Seq	CHIP_H3K27ac	Myotube	Myosatellite	Developing	Tissue
CHIP_H3K27ac_neurosphere_embryo__15_weeks__originated_from_ganglionic_eminence	2604	Neurosphere H3K27ac Chip-Seq	CHIP_H3K27ac	Neurosphere	Neurosphere	Developing	Tissue
CHIP_H3K27ac_MCF_7	1397	MCF-7 H3K27ac Chip-Seq	CHIP_H3K27ac	MCF-7	Other	Unknown	Cell Line
CHIP_H3K27ac_MCF_7	3773	MCF-7 H3K27ac Chip-Seq	CHIP_H3K27ac	MCF-7	Other	Unknown	Cell Line
CHIP_H3K27ac_body_of_pancreas_female_adult__53_years_	3764	Body of Pancreas H3K27ac Chip-Seq	CHIP_H3K27ac	Body of Pancreas	Pancreas	Adult	Tissue
CHIP_H3K27ac_body_of_pancreas_male_adult__37_years_	3065	Body of Pancreas H3K27ac Chip-Seq	CHIP_H3K27ac	Body of Pancreas	Pancreas	Adult	Tissue
CHIP_H3K27ac_body_of_pancreas_male_adult__54_years_	3296	Body of Pancreas H3K27ac Chip-Seq	CHIP_H3K27ac	Body of Pancreas	Pancreas	Adult	Tissue
CHIP_H3K27ac_amnion_male_embryo__16_weeks_	2763	Amnion H3K27ac Chip-Seq	CHIP_H3K27ac	Amnion	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorion_female_embryo__40_weeks_	2994	Chorion H3K27ac Chip-Seq	CHIP_H3K27ac	Chorion	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorion_male_embryo__16_weeks_	4263	Chorion H3K27ac Chip-Seq	CHIP_H3K27ac	Chorion	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorionic_villus_embryo__16_weeks_	4410	Chorionic Villus H3K27ac Chip-Seq	CHIP_H3K27ac	Chorionic Villus	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorionic_villus_female_embryo__40_weeks_	3436	Chorionic Villus H3K27ac Chip-Seq	CHIP_H3K27ac	Chorionic Villus	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorionic_villus_male_embryo__16_weeks_	3324	Chorionic Villus H3K27ac Chip-Seq	CHIP_H3K27ac	Chorionic Villus	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_chorionic_villus_male_embryo__38_weeks_	3360	Chorionic Villus H3K27ac Chip-Seq	CHIP_H3K27ac	Chorionic Villus	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_placenta_embryo__16_weeks_	1534	Placenta H3K27ac Chip-Seq	CHIP_H3K27ac	Placenta	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_placenta_female_embryo__113_days_	2991	Placenta H3K27ac Chip-Seq	CHIP_H3K27ac	Placenta	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_placenta_male_embryo__16_weeks_	3670	Placenta H3K27ac Chip-Seq	CHIP_H3K27ac	Placenta	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_placental_basal_plate_female_embryo__40_weeks_	3083	Placental Basal Plate H3K27ac Chip-Seq	CHIP_H3K27ac	Placental Basal Plate	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_placental_basal_plate_male_embryo__38_weeks_	1648	Placental Basal Plate H3K27ac Chip-Seq	CHIP_H3K27ac	Placental Basal Plate	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_trophoblast_female_embryo__20_weeks_	3024	Trophoblast H3K27ac Chip-Seq	CHIP_H3K27ac	Trophoblast	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_trophoblast_female_embryo__40_weeks_	4380	Trophoblast H3K27ac Chip-Seq	CHIP_H3K27ac	Trophoblast	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_trophoblast_cell_originated_from_H1_hESC	2745	Trophoblast H3K27ac Chip-Seq	CHIP_H3K27ac	Trophoblast	Placenta & EEM	Developing	Tissue
CHIP_H3K27ac_spinal_cord_female_embryo__108_days_	2106	Spinal Cord H3K27ac Chip-Seq	CHIP_H3K27ac	Spinal Cord	PNS	Developing	Tissue
CHIP_H3K27ac_tibial_nerve_female_adult__53_years_	3836	Tibial Nerve H3K27ac Chip-Seq	CHIP_H3K27ac	Tibial Nerve	PNS	Adult	Tissue
CHIP_H3K27ac_prostate_male_adult__54_years_	3806	Prostate H3K27ac Chip-Seq	CHIP_H3K27ac	Prostate	Reproductive	Adult	Tissue
CHIP_H3K27ac_uterus_female_adult__53_years_	2230	Uterus H3K27ac Chip-Seq	CHIP_H3K27ac	Uterus	Reproductive	Adult	Tissue
CHIP_H3K27ac_vagina_female_adult__53_years_	3671	Vagina H3K27ac Chip-Seq	CHIP_H3K27ac	Vagina	Reproductive	Adult	Tissue
CHIP_H3K27ac_rectal_smooth_muscle_tissue_female_adult__50_years_	3462	Rectal Smooth Muscle Tissue H3K27ac Chip-Seq	CHIP_H3K27ac	Rectal Smooth Muscle Tissue	Smooth Muscle	Adult	Tissue
CHIP_H3K27ac_smooth_muscle_cell_originated_from_H9	2111	Smooth Muscle Cell H3K27ac Chip-Seq	CHIP_H3K27ac	Smooth Muscle Cell	Smooth Muscle	Adult	Tissue
CHIP_H3K27ac_spleen_female_adult__30_years_	1715	Spleen H3K27ac Chip-Seq	CHIP_H3K27ac	Spleen	Spleen	Adult	Tissue
CHIP_H3K27ac_spleen_female_adult__53_years_	3690	Spleen H3K27ac Chip-Seq	CHIP_H3K27ac	Spleen	Spleen	Adult	Tissue
CHIP_H3K27ac_spleen_male_adult__34_years_	2188	Spleen H3K27ac Chip-Seq	CHIP_H3K27ac	Spleen	Spleen	Adult	Tissue
CHIP_H3K27ac_spleen_male_child__3_years_	1981	Spleen H3K27ac Chip-Seq	CHIP_H3K27ac	Spleen	Spleen	Child	Tissue
CHIP_H3K27ac_AG04450	1107	AG04450 H3K27ac Chip-Seq	CHIP_H3K27ac	AG04450	Stromal	Developing	Cell Line
CHIP_H3K27ac_GM23248	1471	GM23248 H3K27ac Chip-Seq	CHIP_H3K27ac	GM23248	Stromal	Unknown	Cell Line
CHIP_H3K27ac_IMR_90	1452	IMR-90 H3K27ac Chip-Seq	CHIP_H3K27ac	IMR-90	Stromal	Unknown	Cell Line
CHIP_H3K27ac_fibroblast_of_breast_female_adult__17_years_	3242	Fibroblast of Breast H3K27ac Chip-Seq	CHIP_H3K27ac	Fibroblast of Breast	Stromal	Adult	Tissue
CHIP_H3K27ac_fibroblast_of_breast_female_adult__26_years_	2510	Fibroblast of Breast H3K27ac Chip-Seq	CHIP_H3K27ac	Fibroblast of Breast	Stromal	Adult	Tissue
CHIP_H3K27ac_fibroblast_of_dermis	770	Fibroblast of Dermis H3K27ac Chip-Seq	CHIP_H3K27ac	Fibroblast of Dermis	Stromal	Adult	Tissue
CHIP_H3K27ac_fibroblast_of_lung_female_child__11_year__and_male_adult__45_years_	719	Fibroblast of Lung H3K27ac Chip-Seq	CHIP_H3K27ac	Fibroblast of Lung	Stromal	Child	Tissue
CHIP_H3K27ac_foreskin_fibroblast_male_newborn	1789	Foreskin Fibroblast H3K27ac Chip-Seq	CHIP_H3K27ac	Foreskin Fibroblast	Stromal	Newborn	Tissue
CHIP_H3K27ac_foreskin_fibroblast_male_newborn	3995	Foreskin Fibroblast H3K27ac Chip-Seq	CHIP_H3K27ac	Foreskin Fibroblast	Stromal	Newborn	Tissue
CHIP_H3K27ac_foreskin_fibroblast_male_newborn	4282	Foreskin Fibroblast H3K27ac Chip-Seq	CHIP_H3K27ac	Foreskin Fibroblast	Stromal	Newborn	Tissue
CHIP_H3K27ac_thymus_male_child__3_years_	2380	Thymus H3K27ac Chip-Seq	CHIP_H3K27ac	Thymus	Thymus	Child	Tissue
CHIP_H3K27ac_thymus_female_embryo__110_days_	3851	Thymus H3K27ac Chip-Seq	CHIP_H3K27ac	Thymus	Thymus	Developing	Tissue
CHIP_H3K27ac_urinary_bladder_male_adult__34_years_	1610	Urinary Bladder H3K27ac Chip-Seq	CHIP_H3K27ac	Urinary Bladder	Urinary	Adult	Tissue
CHIP_H3K27me3_adipocyte_originated_from_mesenchymal_stem_cell	3825	Adipocyte H3K27me3 Chip-Seq	CHIP_H3K27me3	Adipocyte	Adipose	Unknown	Cell Line
CHIP_H3K27me3_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__25_years_	1795	Subcutaneous abdominal adipose tissue nuclear fraction H3K27me3 Chip-Seq	CHIP_H3K27me3	Subcutaneous abdominal adipose tissue nuclear fraction	Adipose	Adult	Tissue
CHIP_H3K27me3_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__41_year_	2125	Subcutaneous abdominal adipose tissue nuclear fraction H3K27me3 Chip-Seq	CHIP_H3K27me3	Subcutaneous abdominal adipose tissue nuclear fraction	Adipose	Adult	Tissue
CHIP_H3K27me3_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__49_years_	3714	Subcutaneous abdominal adipose tissue nuclear fraction H3K27me3 Chip-Seq	CHIP_H3K27me3	Subcutaneous abdominal adipose tissue nuclear fraction	Adipose	Adult	Tissue
CHIP_H3K27me3_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__59_years_	2364	Subcutaneous abdominal adipose tissue nuclear fraction H3K27me3 Chip-Seq	CHIP_H3K27me3	Subcutaneous abdominal adipose tissue nuclear fraction	Adipose	Adult	Tissue
CHIP_H3K27me3_subcutaneous_abdominal_adipose_tissue_nuclear_fraction_female_adult__81_year_	3201	Subcutaneous abdominal adipose tissue nuclear fraction H3K27me3 Chip-Seq	CHIP_H3K27me3	Subcutaneous abdominal adipose tissue nuclear fraction	Adipose	Adult	Tissue
Mononuclear_cell_male	1415	Mononuclear cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Mononuclear cell	Blood & T Cell	Unknown	Cell Line
Naive_thymus_derived_CD4_positive__alpha_beta_T_cell	2137	Naive thymus-derived CD4-positive alpha-beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Naive thymus-derived CD4-positive alpha-beta T cell	Blood & T Cell	Adult	In Vitro Differentiated
Naive_thymus_derived_CD4_positive__alpha_beta_T_cell	2943	Naive thymus-derived CD4-positive alpha-beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Naive thymus-derived CD4-positive alpha-beta T cell	Blood & T Cell	Adult	In Vitro Differentiated
Naive_thymus_derived_CD4_positive__alpha_beta_T_cell	3416	Naive thymus-derived CD4-positive alpha-beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Naive thymus-derived CD4-positive alpha-beta T cell	Blood & T Cell	Adult	In Vitro Differentiated
CD4_positive__alpha_beta_memory_T_cell	1486	CD4 positive alpha beta memory T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive alpha beta memory T cell	Blood & T Cell	Adult	Tissue
CD4_positive__alpha_beta_memory_T_cell	3618	CD4 positive alpha beta memory T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive alpha beta memory T cell	Blood & T Cell	Adult	Tissue
CD4_positive__alpha_beta_T_cell	1586	CD4 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive alpha beta T cell	Blood & T Cell	Adult	Tissue
CD4_positive__alpha_beta_T_cell_male_adult__21_year_	3717	CD4 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive alpha beta T cell	Blood & T Cell	Adult	Tissue
CD4_positive__alpha_beta_T_cell_treated_with_phorbol_13_acetate_12_myristate___ionomycin	3827	CD4 positive alpha beta T cell treated with phorbol 13 acetate 12 myristate ionomycin H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive alpha beta T cell treated with phorbol 13 acetate 12 myristate ionomycin	Blood & T Cell	Adult	Tissue
CD4_positive__CD25_positive__alpha_beta_regulatory_T_cell	2088	CD4 positive CD25 positive alpha beta regulatory T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD4 positive CD25 positive alpha beta regulatory T cell	Blood & T Cell	Adult	Tissue
CD8_positive__alpha_beta_memory_T_cell	3057	CD8 positive alpha beta memory T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD8 positive alpha beta memory T cell	Blood & T Cell	Adult	Tissue
CD8_positive__alpha_beta_T_cell	3918	CD8 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD8 positive alpha beta T cell	Blood & T Cell	Adult	Tissue
CD8_positive__alpha_beta_T_cell_male_adult__21_year_	3424	CD8 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD8 positive alpha beta T cell	Blood & T Cell	Adult	Tissue
CD8_positive__alpha_beta_T_cell_male_adult__37_years_	1772	CD8 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	CD8 positive alpha beta T cell	Blood & T Cell	Adult	Tissue
Effector_memory_CD4_positive__alpha_beta_T_cell	2576	Effector memory CD4 positive alpha beta T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Effector Memory CD4 Positive Alpha Beta T Cell	Blood & T Cell	Unknown	Tissue
Peripheral_blood_mononuclear_cell_female_adult__28_years_	2638	Peripheral blood mononuclear cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Peripheral blood mononuclear cell	Blood & T Cell	Adult	Tissue
Peripheral_blood_mononuclear_cell_male_adult__28_years_	2811	Peripheral blood mononuclear cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Peripheral blood mononuclear cell	Blood & T Cell	Adult	Tissue
Peripheral_blood_mononuclear_cell_male_adult__32_years_	4125	Peripheral blood mononuclear cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Peripheral blood mononuclear cell	Blood & T Cell	Adult	Tissue
Peripheral_blood_mononuclear_cell_male_adult__39_years_	3153	Peripheral blood mononuclear cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Peripheral blood mononuclear cell	Blood & T Cell	Adult	Tissue
Regulatory_T_cell_originated_from_blood_cell	3388	Regulatory T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Regulatory T cell	Blood & T Cell	Adult	Tissue
CHIP_H3K27me3_T_cell_male_adult__37_years_	4289	T cell H3K27me3 Chip-Seq	CHIP_H3K27me3	T cell	Blood & T Cell	Adult	Tissue
CHIP_H3K27me3_T_helper_17_cell_treated_with_phorbol_13_acetate_12_myristate___ionomycin	3531	T helper 17 cell treated with phorbol 13-acetate 12-myristate + ionomycin H3K27me3 Chip-Seq	CHIP_H3K27me3	T helper 17 cell treated with phorbol 13-acetate 12-myristate + ionomycin	Blood & T Cell	Adult	Tissue
Osteoblast	785	Osteoblast H3K27me3 Chip-Seq	CHIP_H3K27me3	Osteoblast	Bone	Adult	Tissue
Neural_cell	3455	Neural cell H3K27me3 Chip-Seq	CHIP_H3K27me3	Neural cell	Brain	Unknown	Cell Line
Angular_gyrus_male_adult__81_year_	3344	Angular gyrus H3K27me3 Chip-Seq	CHIP_H3K27me3	Angular Gyrus	Brain	Adult	Tissue
Brain_female_embryo__120_days_	2916	Brain H3K27me3 Chip-Seq	CHIP_H3K27me3	Brain	Brain	Developing	Tissue
Brain_female_embryo__17_weeks_	4509	Brain H3K27me3 Chip-Seq	CHIP_H3K27me3	Brain	Brain	Developing	Tissue
Brain_male_embryo__122_days_	3380	Brain H3K27me3 Chip-Seq	CHIP_H3K27me3	Brain	Brain	Developing	Tissue
Caudate_nucleus_female_adult__75_years_	2107	Caudate nucleus H3K27me3 Chip-Seq	CHIP_H3K27me3	Caudate Nucleus	Brain	Adult	Tissue
Caudate_nucleus_male_adult__81_year_	2977	Caudate nucleus H3K27me3 Chip-Seq	CHIP_H3K27me3	Caudate Nucleus	Brain	Adult	Tissue
Cingulate_gyrus_male_adult__81_year_	1518	Cingulate gyrus H3K27me3 Chip-Seq	CHIP_H3K27me3	Cingulate Gyrus	Brain	Adult	Tissue
